gameid,name
554,Gerd Fenchel
555,Wolfgang Kramer|Richard Ulrich|Jens Christopher Ulrich
556,David Parlett
557,Bernhard Weber
558,Martin Wallace
559,Dirk Henn
561,Walter Müller|Klaus Zoch
562,Gerd Deininger|Andreas Michaelis
563,Uncredited
564,Hartmut Kommerell
565,Wolfgang Panning
566,Richard Borg|Alan R. Moon
567,Birgit Stolte|Dagmar Wolsing
568,Uncredited
569,Rudi Hoffmann
570,Gary R. Winfield
571,Thilo Hutzler
572,Aldo Ghiozzi|W. Jason Peck|Matt Stipicevich
573,K. von Rudloff
574,Terry Goodchild
575,André Frobel
576,Steve Jackson I
577,James Ernest
578,Jürgen P. Grunau
579,Eric Alleman
581,Jason Wittman
582,Gerhard H. Kuhlmann|Hartmut Witt
583,Wolfgang Kramer|Richard Ulrich
585,Wolfgang Panning
586,Courtney F. Allen
587,Hartmut Witt
589,Tom Jolly
590,Edmond Dujardin
592,Uncredited
593,Walter Müller
594,Sid Sackson
595,James Ernest
596,Rick Heli
597,Wolfgang Kramer|Richard Ulrich
599,Andy Daniel
600,Dominique Ehrhard
601,Baren Luders
602,Klaus Grähnke|Brian Walker
603,Heiko Wiese
604,Tom Kremer
605,Doris Matthäus|Frank Nestel
606,Doris Matthäus|Frank Nestel
607,Scott Kimball
608,Guido Hoffmann
609,Reiner Knizia
610,Alan R. Moon|Aaron Weissblum
611,Randy Moorehead
612,Torsten Marold
613,Alex Randolph
614,Erno Rubik|Marvin A. Silbermintz
615,Uncredited
616,Robert Abbott|Richard A. Gardner
617,Hermann Huth
618,Charlie Bambino|Jim Lin|Bill Rose|Tom Wylie
619,Günter Cornett
620,Mark Herman
621,Bruce Sterten
622,James Ernest|Brian Snoddy
623,T. O'Neill|S. Craig Taylor
624,Mirko Marchesi
625,Sid Sackson
626,Mark McLaughlin
627,Ted Raicer
629,Andrew Looney
630,Uncredited
631,Wolfgang Kramer
632,Aaron Weissblum
633,Sylvie Barc|Frédéric Leygonie|Juan Rodriguez
634,Roberto Fraga
635,Reiner Knizia
636,Alan D. Ernstein
637,Michael Garton|John McLaughlin
638,Richard Borg
639,Phil Eklund
642,Brian Hersch
643,Tom Jolly|Christian T. Petersen
644,Matthew Kirby|Mark Alan Osterhaus
645,Mark Alan Osterhaus
646,Tray Green|Dawn Payn
647,Eric M. Lang
648,Francis Pacherie
649,Francis Pacherie
650,Scott Leaton
651,Reiner Knizia
652,Valentin Herman
653,Reinhard Staupe
655,Bruno Faidutti|Serge Laget
657,Thomas Schneider Axmann
660,Stefan Dorra
661,Alan R. Moon
663,Scott Schwartz|Aaron Toman
664,Uncredited
665,Uncredited
666,Uncredited
667,Hermann Huber
668,Tom Schoeps
669,Tray Green|Dawn Payn
670,Randall C. Reed
671,Richard Hamblen
673,David Ladyman
